algorithm,inputSize,height,run1Ns,run2Ns,run3Ns,avgNs,memoryKb
bst_insert,100,11,97900,96100,91800,95266,0
rbt_insert,100,9,94200,99700,95800,96566,0
bst_search,100,11,19500,19700,18300,19166,0
rbt_search,100,9,85900,76900,79500,80766,0
bst_insert,1000,21,1240600,815200,754400,936733,0
rbt_insert,1000,15,2385000,1206100,1260000,1617033,222
bst_search,1000,21,588400,537400,495700,540500,170
rbt_search,1000,15,548000,568600,413400,510000,0
bst_insert,5000,33,1279900,1697300,1257400,1411533,341
rbt_insert,5000,17,4816600,2981900,3422000,3740166,512
bst_search,5000,33,3330900,1434200,1337700,2034266,341
rbt_search,5000,17,1938600,1704200,1848000,1830266,512
bst_insert,10000,30,4550000,5977600,4840500,5122700,853
rbt_insert,10000,20,7354800,4437300,3878200,5223433,853
bst_search,10000,30,6225500,7005400,3056500,5429133,853
rbt_search,10000,20,7071100,7111000,12765700,8982600,853
bst_insert,20000,37,16935300,13155100,5153700,11748033,1536
rbt_insert,20000,19,16556300,14075800,14853700,15161933,1877
bst_search,20000,37,9205800,8372000,8638300,8738700,1536
rbt_search,20000,19,8441600,10449400,12786600,10559200,1706
