algorithm,inputSize,run1Ns,run2Ns,run3Ns,avgNs,memoryKb
bfs,50,259200,221700,232100,237666,0
dfs,50,295100,245100,224800,255000,0
dijkstra,50,250600,171800,1188300,536900,0
prim,50,5473800,6493200,4183500,5383500,170
kruskal,50,4979100,3513300,1116700,3203033,170
bfs,100,39300,38200,44300,40600,0
dfs,100,43000,24100,23700,30266,0
dijkstra,100,909700,836000,817900,854533,170
prim,100,3549500,2676900,2033300,2753233,341
kruskal,100,7682200,2798200,4471500,4983966,341
bfs,200,241200,261100,153800,218700,0
dfs,200,1363200,4715200,1387100,2488500,0
dijkstra,200,2371700,839500,543200,1251466,0
prim,200,7890100,12510500,8457800,9619466,682
kruskal,200,11112500,14055900,9361100,11509833,682
bfs,500,1307800,1055800,1076100,1146566,0
dfs,500,594100,536300,548000,559466,0
dijkstra,500,9597200,2723100,2050900,4790400,0
prim,500,6210200,11401700,15938300,11183400,1906
kruskal,500,125586200,99621700,114987100,113398333,2372
