algorithm,inputSize,tableSize,loadFactor,collisions,run1Ns,run2Ns,run3Ns,avgNs,memoryKb
hash_put,100,83,1.205,17,119700,132400,123800,125300,0
hash_put,100,337,0.297,0,77400,56000,23700,52366,0
hash_put,100,20011,0.005,0,70500,38100,30200,46266,78
hash_put,1000,83,12.048,917,358800,459600,352300,390233,0
hash_put,1000,337,2.967,663,297800,289200,325100,304033,73
hash_put,1000,20011,0.050,0,264000,297300,304600,288633,164
hash_put,5000,83,60.241,4917,2077800,2037000,2632500,2249100,341
hash_put,5000,337,14.837,4663,1146000,997300,11527900,4557066,164
hash_put,5000,20011,0.250,0,1151200,1146800,1211000,1169666,393
hash_put,10000,83,120.482,9917,12592500,13942900,13787800,13441066,822
hash_put,10000,337,29.674,9663,2194700,1818100,895100,1635966,822
hash_put,10000,20011,0.500,0,198600,318500,194600,237233,822
hash_put,20000,83,240.964,19917,55229000,53478500,55399600,54702366,1566
hash_put,20000,337,59.347,19663,13115900,5104300,5424200,7881466,1566
hash_put,20000,20011,0.999,0,10632300,879300,782700,4098100,1054
