algorithm,inputSize,run1Ns,run2Ns,run3Ns,avgNs,memoryKb
heap_insert,100,257000,975000,874200,702066,0
heap_extract,100,968700,782000,645100,798600,0
heap_insert,1000,774600,790400,742000,769000,0
heap_extract,1000,6657000,3145700,2166400,3989700,0
heap_insert,5000,3496300,1631200,1688000,2271833,10
heap_extract,5000,15242400,15855900,20859400,17319233,0
heap_insert,10000,7683800,5630800,3163800,5492800,53
heap_extract,10000,41912800,32122600,41069800,38368400,192
heap_insert,20000,12476400,7247300,8399300,9374333,245
heap_extract,20000,106289700,87919600,75231700,89813666,266
