algorithm,inputSize,run1Ns,run2Ns,run3Ns,avgNs,memoryKb
linear_search,100,5800,5200,5100,5366,0
binary_search,100,8300,7700,7400,7800,0
linear_search,500,65100,319300,90700,158366,0
binary_search,500,123000,130400,109400,120933,0
linear_search,1000,143100,155900,141700,146900,0
binary_search,1000,112400,76400,74500,87766,0
linear_search,5000,255000,284200,2235800,925000,0
binary_search,5000,1100900,820200,481400,800833,0
linear_search,10000,917700,351600,669800,646366,0
binary_search,10000,3062200,3144700,2407100,2871333,0
