algorithm,inputSize,run1Ns,run2Ns,run3Ns,avgNs,memoryKb
selection_sort,100,446500,297900,273100,339166,0
insertion_sort,100,152300,148400,183100,161266,0
merge_sort,100,112500,117400,77200,102366,0
quicksort,100,113900,89800,104900,102866,0
selection_sort,500,1614500,1882800,3015300,2170866,0
insertion_sort,500,1966000,1849900,1524700,1780200,0
merge_sort,500,508200,180200,175600,288000,0
quicksort,500,620000,513600,1551700,895100,13
selection_sort,1000,3132800,6663500,4275000,4690433,0
insertion_sort,1000,9507400,10453400,12283800,10748200,0
merge_sort,1000,796500,739400,785400,773766,0
quicksort,1000,676500,640000,693700,670066,0
selection_sort,5000,113644700,100720200,90099900,101488266,0
insertion_sort,5000,46950000,36682900,41190900,41607933,0
merge_sort,5000,1543100,1534300,1499100,1525500,0
quicksort,5000,1413900,1674400,2673800,1920700,6
selection_sort,10000,244055900,284799800,236876100,255243933,13
insertion_sort,10000,146029500,157846000,173128600,159001366,39
merge_sort,10000,5056100,3650500,3985500,4230700,78
quicksort,10000,5539700,2596100,2090200,3408666,39
