resourceId,type,homeLocation,capacity,availabilityStatus
RES001,DOCTOR,L001,1,AVAILABLE
RES002,DOCTOR,L001,1,AVAILABLE
RES003,DOCTOR,L002,1,AVAILABLE
RES004,DOCTOR,L003,1,AVAILABLE
RES005,DOCTOR,L004,1,AVAILABLE
RES006,DOCTOR,L006,1,AVAILABLE
RES007,DOCTOR,L008,1,AVAILABLE
RES008,DOCTOR,L011,1,AVAILABLE
RES009,DOCTOR,L013,1,AVAILABLE
RES010,DOCTOR,L016,1,AVAILABLE
RES011,NURSE,L001,1,AVAILABLE
RES012,NURSE,L001,1,AVAILABLE
RES013,NURSE,L002,1,AVAILABLE
RES014,NURSE,L003,1,AVAILABLE
RES015,NURSE,L004,1,AVAILABLE
RES016,NURSE,L005,1,AVAILABLE
RES017,NURSE,L006,1,AVAILABLE
RES018,NURSE,L007,1,AVAILABLE
RES019,NURSE,L008,1,AVAILABLE
RES020,NURSE,L010,1,AVAILABLE
RES021,AMBULANCE,L040,4,AVAILABLE
RES022,AMBULANCE,L040,4,AVAILABLE
RES023,AMBULANCE,L040,4,AVAILABLE
RES024,AMBULANCE,L040,4,AVAILABLE
RES025,AMBULANCE,L040,4,ON_DUTY
RES026,BED,L002,1,AVAILABLE
RES027,BED,L003,1,AVAILABLE
RES028,BED,L004,1,AVAILABLE
RES029,BED,L006,1,AVAILABLE
RES030,BED,L008,1,AVAILABLE
RES031,BED,L011,1,OCCUPIED
RES032,BED,L012,1,OCCUPIED
RES033,BED,L013,1,AVAILABLE
RES034,BED,L015,1,AVAILABLE
RES035,BED,L016,1,OCCUPIED
RES036,DOCTOR,L017,1,AVAILABLE
RES037,DOCTOR,L022,1,AVAILABLE
RES038,NURSE,L011,1,AVAILABLE
RES039,NURSE,L012,1,ON_DUTY
RES040,AMBULANCE,L040,4,AVAILABLE
