roadId,fromLocationId,toLocationId,distance,travelTime,roadConditionWeight
R001,L001,L002,0.1,2,1.0
R002,L001,L003,0.1,2,1.0
R003,L001,L004,0.2,3,1.0
R004,L001,L011,0.1,2,1.0
R005,L001,L040,0.1,1,1.0
R006,L002,L003,0.1,1,1.0
R007,L002,L025,0.2,3,1.0
R008,L002,L024,0.2,3,1.0
R009,L002,L027,0.2,3,1.0
R010,L003,L025,0.2,3,1.0
R011,L003,L009,0.2,3,1.0
R012,L003,L024,0.2,3,1.0
R013,L004,L005,0.1,1,1.0
R014,L004,L010,0.2,2,1.0
R015,L004,L045,0.1,2,1.0
R016,L005,L010,0.2,2,1.0
R017,L005,L025,0.3,4,1.0
R018,L006,L007,0.1,1,1.0
R019,L006,L029,0.2,3,1.0
R020,L006,L011,0.2,3,1.0
R021,L007,L030,0.2,3,1.0
R022,L007,L031,0.2,3,1.0
R023,L008,L009,0.1,1,1.0
R024,L008,L010,0.2,2,1.0
R025,L008,L029,0.3,4,1.2
R026,L009,L029,0.3,4,1.2
R027,L010,L011,0.3,4,1.0
R028,L010,L012,0.2,3,1.0
R029,L011,L012,0.1,1,1.0
R030,L011,L029,0.2,3,1.0
R031,L012,L029,0.2,3,1.0
R032,L013,L024,0.2,3,1.0
R033,L013,L025,0.2,3,1.0
R034,L013,L014,0.2,2,1.0
R035,L014,L023,0.2,3,1.0
R036,L014,L029,0.3,4,1.2
R037,L015,L029,0.2,3,1.0
R038,L015,L026,0.2,3,1.0
R039,L016,L024,0.3,4,1.0
R040,L016,L025,0.3,4,1.0
R041,L017,L025,0.2,3,1.0
R042,L017,L024,0.2,3,1.0
R043,L018,L029,0.3,4,1.2
R044,L019,L034,0.2,2,1.0
R045,L020,L024,0.2,3,1.0
R046,L021,L032,0.2,3,1.0
R047,L022,L032,0.3,4,1.0
R048,L023,L032,0.2,3,1.0
R049,L024,L025,0.1,2,1.0
R050,L024,L032,0.2,3,1.0
R051,L025,L026,0.1,2,1.0
R052,L025,L027,0.2,3,1.0
R053,L026,L027,0.2,3,1.0
R054,L027,L028,0.1,2,1.0
R055,L027,L032,0.2,3,1.0
R056,L028,L032,0.2,3,1.0
R057,L029,L030,0.1,1,1.0
R058,L029,L031,0.1,1,1.0
R059,L030,L031,0.1,1,1.0
R060,L032,L033,0.1,2,1.0
R061,L032,L036,0.2,3,1.0
R062,L033,L036,0.2,3,1.0
R063,L036,L037,0.1,2,1.0
R064,L037,L041,0.2,3,1.0
R065,L040,L041,0.1,1,1.0
R066,L041,L032,0.3,5,1.0
R067,L001,L045,0.1,2,1.0
R068,L045,L004,0.1,2,1.0
R069,L044,L037,0.1,2,1.0
R070,L038,L037,0.1,2,1.0
R071,L039,L040,0.1,2,1.0
R072,L042,L037,0.2,3,1.0
R073,L043,L037,0.2,3,1.0
R074,L051,L012,0.1,2,1.0
R075,L051,L029,0.2,3,1.0
R076,L052,L015,0.2,3,1.0
R077,L052,L029,0.3,4,1.2
R078,L035,L032,0.2,3,1.0
R079,L034,L032,0.2,3,1.0
R080,L053,L037,0.2,3,1.0
R081,L001,L046,14.5,35,1.8
R082,L001,L047,12.0,30,1.6
R083,L001,L048,15.0,38,1.9
R084,L001,L049,18.0,45,2.0
R085,L001,L050,28.0,60,2.2
R086,L040,L046,14.5,35,1.8
R087,L040,L047,12.0,30,1.6
R088,L040,L048,15.0,38,1.9
R089,L040,L049,18.0,45,2.0
R090,L040,L050,28.0,60,2.2
R091,L046,L048,5.0,15,1.4
R092,L046,L047,8.0,20,1.5
R093,L047,L054,3.0,10,1.2
R094,L047,L055,3.5,12,1.2
R095,L048,L049,10.0,25,1.5
R096,L049,L050,22.0,50,2.0
R097,L001,L054,13.0,32,1.7
R098,L001,L055,13.5,33,1.7
R099,L040,L054,13.0,32,1.7
R100,L040,L055,13.5,33,1.7
R101,L046,L049,12.0,30,1.6
R102,L048,L050,20.0,48,2.0
R103,L002,L006,0.2,3,1.0
R104,L003,L008,0.2,3,1.0
R105,L006,L014,0.3,4,1.0
