requestId,source,destination,category,urgency,timeSubmitted,deadline,status
SR001,L041,L001,EMERGENCY,CRITICAL,2024-01-02 08:05,2024-01-02 08:20,COMPLETED
SR002,L032,L002,ADMISSION,HIGH,2024-01-02 08:10,2024-01-02 09:10,COMPLETED
SR003,L032,L003,ADMISSION,MEDIUM,2024-01-02 08:15,2024-01-02 10:15,COMPLETED
SR004,L001,L011,TRANSFER,CRITICAL,2024-01-02 08:20,2024-01-02 08:35,COMPLETED
SR005,L032,L004,ADMISSION,HIGH,2024-01-02 08:25,2024-01-02 09:25,COMPLETED
SR006,L041,L001,EMERGENCY,CRITICAL,2024-01-02 08:30,2024-01-02 08:45,COMPLETED
SR007,L032,L006,ADMISSION,MEDIUM,2024-01-02 08:35,2024-01-02 10:35,COMPLETED
SR008,L001,L029,TRANSFER,HIGH,2024-01-02 08:40,2024-01-02 09:40,COMPLETED
SR009,L032,L008,ADMISSION,MEDIUM,2024-01-02 08:45,2024-01-02 10:45,COMPLETED
SR010,L032,L013,ADMISSION,LOW,2024-01-02 08:50,2024-01-02 12:50,COMPLETED
SR011,L041,L001,EMERGENCY,CRITICAL,2024-01-02 09:00,2024-01-02 09:15,COMPLETED
SR012,L032,L016,ADMISSION,HIGH,2024-01-02 09:05,2024-01-02 10:05,COMPLETED
SR013,L002,L024,TRANSFER,MEDIUM,2024-01-02 09:10,2024-01-02 10:10,COMPLETED
SR014,L032,L017,ADMISSION,HIGH,2024-01-02 09:15,2024-01-02 10:15,COMPLETED
SR015,L001,L012,TRANSFER,CRITICAL,2024-01-02 09:20,2024-01-02 09:35,COMPLETED
SR016,L032,L014,ADMISSION,MEDIUM,2024-01-02 09:25,2024-01-02 11:25,COMPLETED
SR017,L041,L001,EMERGENCY,CRITICAL,2024-01-02 09:30,2024-01-02 09:45,COMPLETED
SR018,L032,L022,ADMISSION,MEDIUM,2024-01-02 09:35,2024-01-02 11:35,COMPLETED
SR019,L004,L010,TRANSFER,CRITICAL,2024-01-02 09:40,2024-01-02 09:55,COMPLETED
SR020,L032,L009,ADMISSION,MEDIUM,2024-01-02 09:45,2024-01-02 11:45,COMPLETED
SR021,L041,L001,EMERGENCY,HIGH,2024-01-02 10:00,2024-01-02 10:30,COMPLETED
SR022,L032,L002,ADMISSION,LOW,2024-01-02 10:05,2024-01-02 14:05,COMPLETED
SR023,L011,L046,REFERRAL,CRITICAL,2024-01-02 10:10,2024-01-02 10:40,COMPLETED
SR024,L032,L003,ADMISSION,MEDIUM,2024-01-02 10:15,2024-01-02 12:15,COMPLETED
SR025,L001,L029,TRANSFER,HIGH,2024-01-02 10:20,2024-01-02 11:20,COMPLETED
SR026,L032,L004,ADMISSION,LOW,2024-01-02 10:25,2024-01-02 14:25,COMPLETED
SR027,L041,L001,EMERGENCY,CRITICAL,2024-01-02 10:30,2024-01-02 10:45,COMPLETED
SR028,L032,L006,ADMISSION,HIGH,2024-01-02 10:35,2024-01-02 11:35,COMPLETED
SR029,L008,L010,TRANSFER,CRITICAL,2024-01-02 10:40,2024-01-02 10:55,COMPLETED
SR030,L032,L013,ADMISSION,MEDIUM,2024-01-02 10:45,2024-01-02 12:45,COMPLETED
SR031,L041,L001,EMERGENCY,HIGH,2024-01-02 11:00,2024-01-02 11:30,COMPLETED
SR032,L032,L016,ADMISSION,MEDIUM,2024-01-02 11:05,2024-01-02 13:05,COMPLETED
SR033,L001,L048,REFERRAL,CRITICAL,2024-01-02 11:10,2024-01-02 11:50,COMPLETED
SR034,L032,L017,ADMISSION,LOW,2024-01-02 11:15,2024-01-02 15:15,COMPLETED
SR035,L002,L025,TRANSFER,MEDIUM,2024-01-02 11:20,2024-01-02 12:20,COMPLETED
SR036,L032,L014,ADMISSION,HIGH,2024-01-02 11:25,2024-01-02 12:25,COMPLETED
SR037,L041,L001,EMERGENCY,CRITICAL,2024-01-02 11:30,2024-01-02 11:45,COMPLETED
SR038,L032,L022,ADMISSION,LOW,2024-01-02 11:35,2024-01-02 15:35,COMPLETED
SR039,L006,L029,TRANSFER,HIGH,2024-01-02 11:40,2024-01-02 12:40,COMPLETED
SR040,L032,L009,ADMISSION,MEDIUM,2024-01-02 11:45,2024-01-02 13:45,COMPLETED
SR041,L041,L001,EMERGENCY,CRITICAL,2024-01-03 08:00,2024-01-03 08:15,COMPLETED
SR042,L032,L002,ADMISSION,HIGH,2024-01-03 08:05,2024-01-03 09:05,COMPLETED
SR043,L032,L003,ADMISSION,MEDIUM,2024-01-03 08:10,2024-01-03 10:10,COMPLETED
SR044,L001,L011,TRANSFER,CRITICAL,2024-01-03 08:15,2024-01-03 08:30,COMPLETED
SR045,L032,L004,ADMISSION,LOW,2024-01-03 08:20,2024-01-03 12:20,COMPLETED
SR046,L041,L001,EMERGENCY,HIGH,2024-01-03 08:25,2024-01-03 08:55,COMPLETED
SR047,L032,L006,ADMISSION,MEDIUM,2024-01-03 08:30,2024-01-03 10:30,COMPLETED
SR048,L001,L029,TRANSFER,HIGH,2024-01-03 08:35,2024-01-03 09:35,COMPLETED
SR049,L032,L008,ADMISSION,MEDIUM,2024-01-03 08:40,2024-01-03 10:40,COMPLETED
SR050,L032,L013,ADMISSION,LOW,2024-01-03 08:45,2024-01-03 12:45,COMPLETED
SR051,L041,L001,EMERGENCY,CRITICAL,2024-01-03 09:00,2024-01-03 09:15,COMPLETED
SR052,L032,L016,ADMISSION,HIGH,2024-01-03 09:05,2024-01-03 10:05,COMPLETED
SR053,L002,L024,TRANSFER,MEDIUM,2024-01-03 09:10,2024-01-03 10:10,COMPLETED
SR054,L032,L017,ADMISSION,HIGH,2024-01-03 09:15,2024-01-03 10:15,COMPLETED
SR055,L001,L012,TRANSFER,CRITICAL,2024-01-03 09:20,2024-01-03 09:35,COMPLETED
SR056,L032,L014,ADMISSION,MEDIUM,2024-01-03 09:25,2024-01-03 11:25,COMPLETED
SR057,L041,L001,EMERGENCY,CRITICAL,2024-01-03 09:30,2024-01-03 09:45,COMPLETED
SR058,L032,L022,ADMISSION,LOW,2024-01-03 09:35,2024-01-03 13:35,COMPLETED
SR059,L004,L010,TRANSFER,CRITICAL,2024-01-03 09:40,2024-01-03 09:55,COMPLETED
SR060,L032,L009,ADMISSION,MEDIUM,2024-01-03 09:45,2024-01-03 11:45,COMPLETED
SR061,L041,L001,EMERGENCY,HIGH,2024-01-03 10:00,2024-01-03 10:30,COMPLETED
SR062,L032,L002,ADMISSION,MEDIUM,2024-01-03 10:05,2024-01-03 12:05,COMPLETED
SR063,L011,L047,REFERRAL,CRITICAL,2024-01-03 10:10,2024-01-03 10:40,COMPLETED
SR064,L032,L003,ADMISSION,LOW,2024-01-03 10:15,2024-01-03 14:15,COMPLETED
